,text
0,¿Cuándo van a tener un producto para menores de edad? Urge. 🙏🙏
1,This is the way
2,Top!👏🚀🎉💜
3,Lo necesito 💜
4,Manifestando a la fuerza que me aumenten mi línea 🧙‍♂️🧙‍♂️🧙‍♂️
5,✨💜
6,Excelente buen servicio lo hice apenas ayer y salió directo y fácil de usar 👌🏻💜
7,el mejor regalo seria que NU se convirtiera en un banco para animarme a meterle mas dinero de lo que garantiza el seguro prosofipo
8,¿Tardan mucho en contestar un correo? Antes respondían en menos de una hora. :/
9,Cuando tendrán banca en línea? No solo en el móvil
10,No logro entrar en mi app
11,Me hicieron una transferencia ya está liquidada y no se refleja en mi cuenta que sucede.
12,"Tío @nu.mx, saca los depósitos en tiendas de conveniencia 🫣
Aaaaaaaaaaaaaa 😭"
13,"@nu.mx ojalá me puedan ayudar, llevo más de una semana que hice mi solicitud en la app y no me han respondido, ya envié varios correos pero siguen sin darme respuesta. Ojalá me puedan apoyar quiero ser parte de Nu 🥹🙏🏻"
14,El mejor de todos 💜✨🙌🏻
15,Pésima atención al cliente y ni se diga para una reposición de plástico
16,No me dieron la TDC:(
17,A mi no me dieron l tarjeta de CRÉDITO 😢! Y tanto que la anhelaba.
18,Va a ver algo para el hot sale?😢
19,Venganse a la feria de san Marcos
20,A @natscafemx el mejor café de la zona y el mejor banco
21,"Si ya cuento con una cuenta débito, pero quiero otra para un emprendimiento se puede?"
22,"Me pasa lo mismo, hice un traspaso de azteca a NU desde ayer y no se me ha reflejado :/"
23,Me sacaron de mi cuenta y no me deja acceder!
24,"Yo tengo saldo a favor con Nu, no me reflejan una transferencia y no me dan solución, mientras yo tengo que estar sin mi dinero. Para nada recomiendo Nu. Mejor Klar"
25,Alpha en Amazon Prime 😍
26,Planzaso 💜
27,Escape Room en Amazon Prime 🙌
28,Milagro en la celda 7 (excelente película) 💯👍🏼👏🏼👏🏼👏🏼👏🏼
29,🙌🙌
30,❤️
31,Van a poner a la venta la bolsita bandolera ?? Yo la quiero 💜💜💜💜
32,Sip ya me registré y que hay de regalitos para sus excelentes clientes ???
33,Quiero
34,💜
35,Quiero una cangurera 😂😂😂Morada obviamente 🙄
36,Dónde está el link 😢
37,🔥🔥🔥🔥🔥
38,Cual es el link?
39,💜 necesito una taza térmica...
40,Creditos automotrices no estarían nada mal !
41,💜
42,💜
43,💜
44,👏🏼👏🏼
45,Tío @nu.mx ¡Saquen su Merch por favooor! 😭🤌🏼💜
46,Ya digan las tasas de las cajitas congeladas
47,"Hola. Recién me registré y ya recibí mi TDD, pero ya me decidí también por la de Crédito y no encuentro como pedirla. ¿Me pueden ayudar, porfa?"
48,Puedo retirar el monto de mi tarjeta garantizada en cualquier momento?
49,Para cuándo los préstamos personales para todos los clientes NU 💜
50,@profepicho
51,Dónde están los libros?
52,Donde los puedo ver?? No lo encuentro...
53,Pero el contenido no está aquí? No entiendo la lógica de mantener una página en Instagram si lo manda ir a otra parte. 😢
54,"Creo que olvidaron poner los nombres 😅🤣, ya voy para blog nu 😍, saluditos 💜"
55,
56,Interesante lo haré hoy mismo gracias NU eres lo mejor y amo la moradita y mí color favorito 💜
57,Yo quise solicitar la tarjeta y me marca error 🙄 y no me acceso para el registro
58,
59,Tienen más de una semana que están revisando la.documentacion aunque ya la aprobaron dónde puedo cancelar ya que tardanuvho
60,Como obtengo la 3ra ?????? La nueva
61,Cuales son por favor. Tengo la tdc existe la de débito pero la otra cuál es?😮
62,"Yo tengo la de crédito pero no me ha llegado la de ahorro, me encanta NU."
63,¿La tarjeta Nu hace préstamos?
64,Necesito que resuelvan mi situación 😢 no es posible que solo me envíen un correo negando que ustedes no van a responder por mis spei que no cayeron
65,"Hmm.. yo quería la de crédito para iniciar mi historial crediticio y sólo me dieron la de débito, ya tengo un rato, como puedo volver a solicitarla?"
66,"Yo manejo 3 tarjetas de crédito nunca me he atrasado en pagos, en noviembre obtuve mi cuenta de ahorro pero la de crédito, eso si me sorprendió, haber cuando llega 😢"
67,Te amo nu
68,"Pedí mi tarjeta de Débito en febrero! No me llegó a mi domicilio, llegó a Estafeta, cuando fui por ella, me dijeron que ya no estaba disponible, pero en la APP me aparece que sigue estando en Estafeta, ¿qué puedo hacer?"
69,Yo tengo dos y es muy buena gracias Nu
70,Yo quiero abrir la cuenta pero no llega un código a mi celular para terminar el proceso de la apertura … ya revise configuración del teléfono y está todo en orden . A donde puedo contactarlos para ayuda ?
71,"Solo me falta la gatantizada, gracias NU !!!!!!!!"
72,Para cuando el cash back?😢😢 @nu.mx
73,Aplausos bien merecido el reconocimiento son lo mejor 👌 👍🏻 👌 👍🏻 👏👏👏👏👏👏♥ 💞 💕
74,Felicitaciones 💜
75,Felicidades Nu estoy contigo desde que iniciaste en México 🇲🇽
76,👏👏👏👏🔥🔥
77,mi tarjeta favorita 💜💜💜
78,¿En México ya dejará de ser SOFIPO?
79,Sin dude merecido cambiaron las reglas del juego felicidades! 🔥
80,🥳💜💅💁🏻‍♀️
81,Excelente y seguirá con la voluntad de Díos por muchos años más éxitos
82,"Muy bien merecido Nu 👏, por más años siendo los mejores 😎 y por un año donde se consoliden como banco con la aprobación de su licencia 🔥."
83,👏
84,Y sí lo son.
85,Y los que faltan 💜💜💜💜
86,"Más que merecido ser llamado el mejor 🤩💜✨
Ningún banco es como ustedes cambiando las reglas, con su gran compromiso y dejando a un lado la prehistoria financiera 🤪☄️🌟 Muchas felicidades / Parabéns NU!!! 🇲🇽🇧🇷🥳🥳🥳💜💜💜"
87,"Deje la TDC del banco tradicional y pues no me arrepiento , todo chido con la morada. Te quiero tío NU 💜"
88,Algún día traerán la Ultravioleta? 💜
89,Yo quiero una tarjeta de crédito Nu con el fondo de un universo morado 💜
90,Me a estado llegando una invitación supuestamente de NU de un crédito personal a mi correo pero al abrirlo me dicen que me registre en la aplicación de NU pero lo que me extraña es que yo tengo 30 meses con la TDC y en la aplicación no me a parece nada de crédito personal 👍💜
91,"Mi tarjeta de debito nunca pudo llegar, ¿Como solicito de nueva cuenta la tarjeta física pero a otra dirección?"
92,Me gustaría que mi tarjeta tenga un diseño morado pero con un detelle artístico
93,Me encantaron los diseños😎😍👌
94,Hey !! Resuelvan mi problema por favor !!
95,Omg! Que padrisimooo 💜💜💜💜💜
96,Una TDC NU personalizada 😍😍
97,"Nu, no puedo entrar a mi app, porque mi correo electrónico cambió, no me dan respuesta “sus asesores”. No sé si mi dinero está seguro."
98,Perfect 💜
99,😍😍😍
100,Love it 💜
101,Nunca me llega el código para continuar el trámite
102,"Sería genial que sacaran diseños así, de arte en la moradita 😍"
103,Pa cuándo el depósito de efectivo en Oxxo? 🥺
104,Cuando me darán respuesta😢 me aceptaron para tener de crédito y débito pero no me dan respuesta
105,El rendimiento del 15% anual solo va a ser hasta el 23 de mayo. Luego va a ser del 9% 😒
106,tengo poco tiempo que me uní a la familia morada y la verdad estoy encantada!💜
107,Si saco la de crédito me dan la de débito también soy nuevo no critiquen jajaaja
108,Cómo puedo borrar las cajitas? 😢
109,Feliz de ser parte de la familia Nu 💜
110,Mañana se acaba la cajita?
111,"Gracias por existir, no podría estar más contenta con la atención, la experiencia de usuario en su aplicación y el hecho de que tengan el “ojito” para que la gente chismosa no vea nada confidencial. 💜💟"
112,Yo 💜💜💜 a Nu ✨
113,❤️
114,"Nu, no puedo entrar a mi app, porque mi correo electrónico cambió, no me dan respuesta “sus asesores”. No sé si mi dinero está seguro."
115,En Aguascalientes apenas vamos a empezar las vacaciones 😎 deberían venir a darse publicidad aquí a la feria tía NU 💜
116,Por qué nunca funciona nada su aplicación con datos móviles? Es un verdadero problema
117,Amooo organizar mis finanzas con Nu 💜!!!!
118,❤️
119,Dónde las puedo encontrar 😍
120,❤️❤️😍😍😍😍Amaria ver un BTS de como crean las campañas de marketing. 😍😍
121,Númaste 😌💜✨🙌
122,Mi herramienta favorita son las cajitas de Cuenta Nu 💜
123,Meterán inversión a plazos en algún momento ??? Saludos
124,Yasssss! 💜💜💜
125,intente el registro pero nunca llego el sms con el nip para continuar con el registro
126,Ya nos calmamos todos sigue la novela otra temporada 💜
127,"No contestan mis correos, bloquearon mi cuenta :("
128,A modelo mais linda!❤
129,Amo NUUUU
130,Es lo máximo 💜 Ahora espero después podamos eliminarlas jaja 🥲
131,"🌻🌻🌻🌻🌻, Top.🇧🇷"
132,Conviene más tener varias cajitas o solo una? Por lo del interés compuesto
133,"Te quiero, NU ❤️"
