,caption,date,likes,comments,shortcode
0,"Genera más por tus compras con tu anualidad recibiendo recompensas💳✨ 

Contrata ahora y disfruta del 2% en recompensas con tu Tarjeta de Crédito Virtual en comercios seleccionados o 1% de recompensas con tu Tarjeta de Crédito virtual y física.

¡Aprovecha esta oportunidad única!",2024-02-01 23:01:47,234,0,C20pQhPPtee
1,"Nuestra Tarjeta Hey esconde muchas curiosidades. 😯💳 ¡Conoce 🖐🏼 cosas que seguramente no sabías de nuestras tarjetas! 🤓👀

#HeyBanco #tarjeta #banco #TDC #finanzas #curiosidades #educacionfinanciera",2024-01-11 22:55:14,364,0,C1-jg6JuOPq
2,"Abre un mundo de posibilidades en minutos. 🚀 

¿Qué esperas? Descarga tu App Hey, abre tu cuenta en minutos y comienza tu viaje hacia una mayor comodidad financiera.",2024-03-12 00:34:15,448,3,C4ZO15cvCqs
3,"¡Haz que cada regalo cuente aún más! 

Obtén un 10% de cashback en tus compras y encuentra el regalo perfecto en tiendas participantes 🎁 

¡No esperes más! Paga con tu Tarjeta de Crédito Hey, activa tu anualidad y disfruta del amor y las sorpresas durante todo el año. 💳💕",2024-05-03 21:37:46,82,0,C6hYxtHuLv1
4,"Perrito Hey 🐾 listo para disfrutar en @AkambaMx 🌋, ¿estás listo para unirte a la aventura? 

¡Nos vemos mañana! ✨",2024-05-03 16:26:14,100,0,C6g1H_9OUx_
5,Visítanos en la Fan Shop de Guadalajara en @midtown.jalisco 🌟😎🌈,2024-05-02 21:50:31,88,3,C6e1AcbOsw-
6,"¡Celebra el Día del Niño con un regalo que les enseñará mientras se divierten! 🎈🎁

Activa su Cuenta Hey Menores y despierta su genio financiero desde temprana edad.

La única cuenta para menores diseñada para que ahorren con rendimiento. 💰",2024-05-01 02:01:15,62,0,C6aIi0qOOd9
7,"Nunca dejemos de soñar en grande, tal y como los niños lo hacen todos los días. ✨ ¡Feliz Día del Niño y la Niña! 🪁🪀🧸

#HeyBanco #SomosHey #DiaDelNiño #niños #infancia",2024-04-30 22:09:28,914,14,C6ZsXgiu0CT
8,"¡Un video con sabor a nostalgia! 🥹📺 Cuéntenos, ¿cuál fue la caricatura que marcó su infancia? 🪁

#SomosHey #caricatura #niños #infancia",2024-04-29 23:22:04,1743,41,C6XReYiszxb
9,"🌍👋¡Hey, viajeros del mundo! Si tienes Cuenta Hey y estás viviendo en el extranjero, déjanos saber tu ubicación con emojis 🇫🇷🇩🇪🇺🇸 

¡Queremos saber dónde estás!",2024-04-29 17:13:31,53,1,C6WnWy0uGnB
10,"Ella es Mimi ✨, Coordinadora de Espacios Físicos en Hey Banco. 

Además de estar buscando rescatar perritos 🐶 en las calles o intentando nuevos trucos en la patineta 🛹, Mimi se encarga de coordinar todas las entradas de lo que vemos dentro de cada 📍Fan Shop.

Conoce más sobre Mimi en este episodio de Colaboradores Hey 😎",2024-04-26 21:54:05,146,0,C6PY7yLu5Ha
11,"Hey Lovers, ¡llegó la hora de reportarse! 🙋🏼‍♀️🙋🏻‍♂️ Dejen en los comentarios cuál es la principal razón por la que aman a Hey Banco. 🫰🏼 Los leemos. ✨

#HeyBanco #finanzas #banco #educacionfinanciera",2024-04-26 00:17:27,351,10,C6NEpj8uMXv
12,"¡Nébula ya está disponible en tu App Hey y en Fan Shops! 👽

Recibe tu nueva #TarjetaHey hasta tu casa o recógela en las Fan Shops de Monterrey, Guadalajara o CDMX. ¡Hipnotízate con sus caóticos colores y pídela hoy! 🪐",2024-04-25 20:58:37,210,3,C6Mt7-MO3yp
13,"Este año en @AkambaMX voy a… 🤩🌋 Participa en nuestro giveaway para llevarte 2 boletos para ir con un acompañante al festival en Tequila, Jalisco.

Para participar:
1. Síguenos en Instagram @media.hey.inc, @heybanco y @akambamx.
2. Completa la frase: Este año en Akamba voy a ________ con _________ y etiqueta a un amig@. 
3. Asegúrate que tu amig@ siga a las tres cuentas. 

Cuatro de ustedes se llevarán 2 boletos cada uno para asistir con un amigo@. 🎶

Importante:
- El acreedor debe tener su Cuenta Hey activa al momento de la premiación.
- Tienes hasta el 29 de abril para participar.
- El 30 de abril anunciaremos a los 4 acreedores de boletos doble para @AkambaMX.

Fecha del festival: Sábado 4 de mayo 

Consulta T&C: https://hey.inc/GAMediaAkamba",2024-04-24 18:40:46,337,416,C6J5Xd3RDqc
