,caption,date,likes,comments,shortcode
0,"La TDC Nu y sus opciones flexibles de pago tienen el poder de convertirte en un maestro Jedi de tus finanzas. 
Que la fuerza financiera te acompañe hoy y siempre 💜",2024-05-04 16:07:51,432,9,C6jXw38L8Oy
1,"Si nunca saben qué regalarte el Día de las Madres, diles que ya puedes recibir dinero de EEUU en tu Cuenta Nu con Félix Pago.",2024-05-03 18:50:27,251,9,C6hFoO7r8Md
2,"Post de apreciación a la tarjeta más cute… 
Like si tu también amas tu Cuenta Nu porque tienes control de tu dinero 24/7.",2024-05-02 16:00:54,166,12,C6eNZ-uLhdb
3,La tarde perfecta de café no exis... ¡Sí existe! ¿A dónde vas a ir por el postre con tu TDC Nu?,2024-04-30 18:54:22,262,18,C6ZXsO5r4jt
4,"Aún te queda 1 día para hacer tu declaración anual, aquí te dejamos algunos tips que te ayudarán a hacer el proceso más sencillo. 🙌🏻

Visita nuestras cuentas @lahorasat y @nu.mx para conocer más tips cómo estos. 😉",2024-04-30 02:04:32,-1,17,C6XkIE0IuaP
5,"Ya nos armamos los snacks con la TDC Nu, ahora falta la recomendación de pelis. ¿Cuáles recomiendan para un maratón?",2024-04-27 17:11:51,378,13,C6Rdkwur5DC
6,"¿Sabías que tenemos una comunidad pensada para todos los fans de Nu? Deja un 💜si ya eres parte. Si todavía no te has registrado, haz clic en el link de la bio y únete.",2024-04-26 18:10:55,826,43,C6O_iksrYn5
7,"La GAT está presente en cualquiera de tus productos financieros que hacen crecer tu dinero. ¿Pero sabes qué es la GAT? Aquí te lo explicamos y te enseñamos cuál es la GAT de tu Cuenta Nu. Conoce más en el #BlogNu dando clic en la bio.

*GAT nominal 16.18% y GAT real 11.57%. Calculados el 30 de octubre de 2023. Antes de impuestos. La GAT real es el rendimiento que obtendrás después de descontar la inflación estimada. Monto mínimo de ahorro $0.01. Vigencia al 15 de abril de 2024. Tasa de rendimiento 15% anual fija. Producto garantizado por el Fondo de Protección hasta por 25,000 UDIs. El rendimiento diario únicamente se genera sobre el saldo apartado en la ""Cajita"". Consulta Términos y Condiciones, como requisitos de contratación en https://nu.com.mx/rendimiento/terminosycondiciones/",2024-04-24 20:59:31,689,13,C6KJPoeyMlg
8,"Ojo aquí amantes de los libros 👀📚 Traemos una selección especial creada por @junqueira.cristina, nuestra Co-Fundadora y CGO en Nu. Para ver la lista completa entra a #BlogNu #DíaDelLibro",2024-04-23 18:47:49,631,11,C6HVYI8L0hS
9,El verano está a la vuelta de la esquina. Es momento de comprar tu outfit para vacacionar con TDC Nu.,2024-04-22 23:24:50,221,6,C6FQSTXLvJl
